page	line	mather token	marchant token	book	chapter	section																		
Darius on his deathbed sends for Cyrus																								
51	16	τὴν	τὴν	1	1	3																		
51	17	ἀρχήν	ἀρχήν	1	1	3																		
51	17	.	.	1	1	3																		
Cyrus plans revenge																								
52	1	ὁ	ὁ	1	1	4																		
52	1	δ'	δ'	1	1	4																		
52	1	ὡς	ὡς	1	1	4																		
52	1	ἀπῆλθε	ἀπῆλθε	1	1	4																		
52	1	κινδυνεύσας	κινδυνεύσας	1	1	4																		
52	1	καὶ	καὶ	1	1	4																		
52	1	ἀτιμασθείς	ἀτιμασθείς	1	1	4																		
52	1	,	,	1	1	4																		
52	1	βουλεύεται	βουλεύεται	1	1	4																		
52	2	ὅπως	ὅπως	1	1	4																		
52	2	μήποτε	μήποτε	1	1	4																		
52	2	ἔτι	ἔτι	1	1	4																		
52	2	ἔσται	ἔσται	1	1	4																		
52	2	ἐπὶ	ἐπὶ	1	1	4																		
52	2	τῷ	τῷ	1	1	4																		
52	2	ἀδελφῷ	ἀδελφῷ	1	1	4																		
52	2	,	,	1	1	4																		
52	2	ἀλλά	ἀλλά	1	1	4																		
52	2	,	,	1	1	4																		
52	2	ἢν	ἢν	1	1	4																		
52	3	δύνηται	δύνηται	1	1	4																		
52	3	,	,	1	1	4																		
52	3	βασιλεύσει	βασιλεύσει	1	1	4																		
52	3	ἀντ'	ἀντ'	1	1	4																		
52	3	ἐκείνου	ἐκείνου	1	1	4																		
52	3	.	.	1	1	4																		
52	3	Παρύσατις	Παρύσατις	1	1	4																		
52	3	μὲν	μὲν	1	1	4																		
52	3	δὴ	δὴ	1	1	4																		
52	4	ἡ	ἡ	1	1	4																		
52	4	μήτηρ	μήτηρ	1	1	4																		
52	4	ὑπῆρχε	ὑπῆρχε	1	1	4																		
52	4	τῷ	τῷ	1	1	4																		
52	4	Κύρῳ	Κύρῳ	1	1	4																		
52	4	,	,	1	1	4																		
52	4	φιλοῦσα	φιλοῦσα	1	1	4																		
52	4	αὐτὸν	αὐτὸν	1	1	4																		
52	4	μᾶλλον	μᾶλλον	1	1	4																		
52	4	ἢ	ἢ	1	1	4																		
52	5	τὸν	τὸν	1	1	4																		
52	5	βασιλεύοντα	βασιλεύοντα	1	1	4																		
52	5	Ἀρταξέρξην	Ἀρταξέρξην	1	1	4																		
52	5	.	.	1	1	4																		
52	5	ὅστις	ὅστις	1	1	5																		
52	5	δ'	δ'	1	1	5																		
52	5	ἀφικνεῖτο	ἀφικνεῖτο	1	1	5																		
52	5	τῶν	τῶν	1	1	5																		
52	6	παρὰ	παρὰ	1	1	5																		
52	6	βασιλέως	βασιλέως	1	1	5																		
52	6	πρὸς	πρὸς	1	1	5																		
52	6	αὐτὸν	αὐτὸν	1	1	5																		
52	6	πάντας	πάντας	1	1	5																		
52	6	οὕτω	οὕτω	1	1	5																		
52	6	διατιθεὶς	διατιθεὶς	1	1	5																		
52	6	ἀπεπέμπετο	ἀπεπέμπετο	1	1	5																		
52	7	ὥστε	ὥστε	1	1	5																		
52	7	αὐτῷ	αὐτῷ	1	1	5																		
52	7	μᾶλλον	μᾶλλον	1	1	5																		
52	7	φίλους	φίλους	1	1	5																		
52	7	εἶναι	εἶναι	1	1	5																		
52	7	ἢ	ἢ	1	1	5																		
52	7	βασιλεῖ	βασιλεῖ	1	1	5																		
52	7	.	.	1	1	5																		
52	8	καὶ	καὶ	1	1	5																		
52	8	τῶν	τῶν	1	1	5																		
52	8	παρ'	παρ'	1	1	5																		
52	8	ἑαυτῷ	ἑαυτῷ	1	1	5																		
52	8	δὲ	δὲ	1	1	5																		
52	8	βαρβάρων	βαρβάρων	1	1	5																		
52	8	ἐπεμελεῖτο	ἐπεμελεῖτο	1	1	5																		
52	8	ὡς	ὡς	1	1	5																		
52	8	πολεμεῖν	πολεμεῖν	1	1	5																		
52	9	τε	τε	1	1	5																		
52	9	ἱκανοὶ	ἱκανοὶ	1	1	5																		
52	9	εἴησαν	εἴησαν	1	1	5																		
52	9	καὶ	καὶ	1	1	5																		
52	9	εὐνοϊκῶς	εὐνοϊκῶς	1	1	5																		
52	9	ἔχοιεν	ἔχοιεν	1	1	5																		
52	9	αὐτῷ	αὐτῷ	1	1	5																		
52	9	.	.	1	1	5																		
52	9	τὴν	τὴν	1	1	6																		
52	10	δὲ	δὲ	1	1	6																		
52	10	Ἑλληνικὴν	Ἑλληνικὴν	1	1	6																		
52	10	δύναμιν	δύναμιν	1	1	6																		
52	10	ἥθροιζεν	ἥθροιζεν	1	1	6																		
52	10	ὡς	ὡς	1	1	6																		
52	10	μάλιστα	μάλιστα	1	1	6																		
52	10	ἐδύνατο	ἐδύνατο	1	1	6																		
52	11	ἐπικρυπτόμενος	ἐπικρυπτόμενος	1	1	6																		
52	11	,	,	1	1	6																		
52	11	ὅπως	ὅπως	1	1	6																		
52	11	ὅτι	ὅτι	1	1	6																		
52	11	ἀπαρασκευότατον	ἀπαρασκευότατον	1	1	6																		
52	11	λάβοι	λάβοι	1	1	6																		
52	11	βασιλέα	βασιλέα	1	1	6																		
52	12	.	.	1	1	6																		
Cyrus prepares to invade his brother's realm																								
52	13	ὧδε	ὧδε	1	1	6																		
52	13	οὖν	οὖν	1	1	6																		
52	13	ἐποιεῖτο	ἐποιεῖτο	1	1	6																		
52	13	τὴν	τὴν	1	1	6																		
52	13	συλλογήν	συλλογήν	1	1	6																		
52	13	.	.	1	1	6																		
52	13	ὁπόσας	ὁπόσας	1	1	6																		
52	13	εἶχε	εἶχε	1	1	6																		
52	14	φυλακὰς	φυλακὰς	1	1	6																		
52	14	ἐν	ἐν	1	1	6																		
52	14	ταῖς	ταῖς	1	1	6																		
52	14	πόλεσι	πόλεσι	1	1	6																		
52	14	παρήγγειλε	παρήγγειλε	1	1	6																		
52	14	τοῖς	τοῖς	1	1	6																		
52	14	φρουράρχοις	φρουράρχοις	1	1	6																		
52	15	ἑκάστοις	ἑκάστοις	1	1	6																		
52	15	λαμβάνειν	λαμβάνειν	1	1	6																		
52	15	ἄνδρας	ἄνδρας	1	1	6																		
52	15	Πελοποννησίους	Πελοποννησίους	1	1	6																		
52	16	ὅτι	ὅτι	1	1	6																		
52	16	πλείστους	πλείστους	1	1	6																		
52	16	καὶ	καὶ	1	1	6																		
52	16	βελτίστους	βελτίστους	1	1	6																		
52	16	,	,	1	1	6																		
52	16	ὡς	ὡς	1	1	6																		
52	17	ἐπιβουλεύοντος	ἐπιβουλεύοντος	1	1	6																		
52	17	Τισσαφέρνους	Τισσαφέρνους	1	1	6																		
52	17	ταῖς	ταῖς	1	1	6																		
52	17	πόλεσι	πόλεσι	1	1	6																		
52	18	.	.	1	1	6																		
52	18	καὶ	καὶ	1	1	6																		
52	18	γὰρ	γὰρ	1	1	6																		
52	18	ἦσαν	ἦσαν	1	1	6																		
52	18	αἱ	αἱ	1	1	6																		
